Prompt,EA-bart-base,EA-t5-base,A-bart-base,A-t5-base
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: When my,When my dad was ill and couldn't walk. I thought he was dead.,When my partner had to give me a re-certification for my employment after being un,When my mother-in-law interfered in my parenting,When my friend told me she was no longer in love with me again
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: When my,When my dad was sick and couldn't walk. I thought he was dead.,When my partner asked me to do a standardized test for my university degree because I didn't,When my father told me his friends passed away,When my partner and I were arguing over a topic we were having an argument over
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: When my,When my dad was sick because I couldn’t save him,When my partner had to go through a divorce because I didn't know what was wrong with me,When my sister was describing her panic attack,When my friend told me he was no longer in love with me again
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: When my,When my husband decided to take credit for my art work at his office.,When my partner had to leave the family home for a week longer than planned.,When my last day of high school,When my son was a teenager 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: When my,When my dad was hospitalised for liver failure because of his drinking problem.,When my dog ate his food because it was a healthy food for him.,When my sister was sick ,When my boyfriend told me he was leaving for college
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: When my,When my boyfriend got me a gift,When my dog ate his food because it was so good for him.,When my friend told me his girlfriend touched my stuff without permission,When my friend was ill 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: When my,When my dad was sick because I couldn’t save him,When my dog got sick because I was too lazy to go out with him.,When my partner and I had a discussion ,When my friend was ill 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: When my,When my work colleague expressed their negative thoughts on the lgbtq community,When my dog ate his food because it was a healthy food for the family.,When my partner told me his friends passed away,When my boyfriend told me he wanted to move back
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: When my,When my husband decided to take credit for my art work at his office.,When my friend asked me if I was pregnant because I knew that would be the case with me.,When my boyfriend told me his girlfriend touched my stuff without permission,When my boyfriend told me he wanted to go back 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my ex was cheating,I found out I was pregnant,I found out my ex boss had passed away,I found out I was being cheated on
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my partner of 18.5 years had been sleeping with my next door neighbour,I found out that my boyfriend was cheating on me for the sake of money.,I found out my ex boyfriend started sleeping with another girl a few weeks after we split up,I found out my boyfriend was a convicted paedophile
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my friend had been cheating on me via a chance social media scrolling session.,I found out that my boyfriend was cheating on me by telling him to leave his girlfriend for a,I found out my ex was seeing someone else after just recently breaking up,I found out that my friend who was cheating on me was a convicted paedophil
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my partner had been cheating on me via a chance social media scrolling session.,"I found out that my son was suffering from depression and was taking medication to help him, which he",I found out my grandpa passed away,I found out my boyfriend was cheating on me
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my friend had been texting other woman,I found out I was pregnant after being put on a maternity leave,I found out my ex boss had gone above me to discuss my progression with my boss,I found out my partner was suffering from alcoholism
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my ex was cheating,I found out I was pregnant,I found out my ex boyfriend started sleeping with another girl a few weeks after we split up,I found out I was being cheated on
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my colleague was fired,"I found out that my son was suffering from depression and was taking medication to help him, which I then",I found out my grandpa passed away,I found out my boyfriend was cheating on me
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my friend had been texting other woman,"I found out that my son was suffering from depression and was taking medication to help him, which he",I found out my ex boss had passed away,I found out my boyfriend was a convicted paedophile
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my Ex was seeing someone else after just recently breaking up.,I found out that my boyfriend was cheating on me for the sake of money.,I found out my ex was cheating on me,I found out that my friend who was cheating
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my brother was a rapist,I found out that my son was a convicted paedophile,I found out my ex was cheating on me,I found out my partner was suffering from alcoholism
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my ex was cheating,I found out I was pregnant,I found out my ex boyfriend started sleeping with another girl a few weeks after we split up,I found out I was being cheated on
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my friend was cheating on me via a chance social media scrolling session.,I found out that my boyfriend was cheating on me by telling him to leave his girlfriend for a,I found out my ex boss had passed away,I found out I was pregnant
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my friend had been texting other woman,I found out I was pregnant after being put on a maternity leave,I found out my ex was cheating on me,I found out my boyfriend was cheating on me
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my colleague was fired,I found out that my boyfriend was cheating on me for the sake of money.,I found out my ex boyfriend was liking other girls provocative pictures on instagram,I found out that my friend who was cheating 
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my brother was cheating on me via a chance social media scrolling session.,"I found out that my son was suffering from depression and was taking medication to help him, which I then",I found out my ex was cheating on me,I found out my boyfriend was cheating on me
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my ex was cheating,I found out I was pregnant,I found out my ex boyfriend started sleeping with another girl a few weeks after we split up,I found out I was being cheated on
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my friend was cheating on me via a chance social media scrolling session.,I found out that my son was a convicted paedophile,I found out my ex boss had passed away,I found out my boyfriend was cheating on me
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my friend had been texting other woman,I found out my son was a convicted paedophile,I found out my ex was cheating on me,I found out that my friend who was cheating
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my colleague was fired,"I found out that my son was suffering from depression and was taking medication to help him, which he",I found out my grandpa passed away,I found out my boyfriend was cheating on me
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I found,I found out my brother was cheating on me via a chance social media scrolling session.,I found out that my boyfriend was cheating on me by telling him to leave his girlfriend for a,I found out my ex boyfriend was liking other girls provocative pictures on instagram,I found out my partner was cheating on me
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I found,I found out my colleague was fired,I found out I was pregnant,I found out my grandad had passed away,I found out my boyfriend was a convicted paedophile
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I found,I found out that my dad wronged my sister,"I found out that my son was suffering from depression and was taking medication to help him, which he",I found out my grandad had passed away,I found out my grandpa passed away
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I found,I found out my son was being picked on at school,I found out my son was a convicted paedophile,I found out my husband was having an affair,I found out my cat had died
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I found,I found out my colleague had been fired,I found out that my son was a convicted paedophile,I found out my aunt has terminal cancer,I found out my grandma passed away
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I found,I found out my my ex was cheating,I found out that my friend had a stoke and was vomiting because I didn't,I found out my Nanna was critically ill ,I found out I was being cheated on
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I found,I found out my ex was cheating,I found out I was pregnant,I found out I was expecting my first child,I found out I was pregnant
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I found,I found out my friend had been texting other woman,I found out that my boyfriend was cheating on me by telling him to leave his girlfriend for a,I found a voice message on my phone confirming my fathers affair,I found out I was pregnant
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I found,I found out my aunt has cancer,I found out that my boyfriend was cheating on me for the sake of money.,I found out my husband was having an affair,I found out I was pregnant after being unemployed
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I found,I found out my friend had committed suicide,"I found out that my son was suffering from depression and was taking medication to help him, which he",I found out my ex was cheating,I found out I was pregnant after being unemployed for over a year
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I found,I found out my colleague was fired,I found out that my son was a convicted paedophile,I found a baby in my arms after being long distance for many months,I found out I was pregnant after being denied entry 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I found,I found out my ex was cheating,I found out my son was a convicted paedophile,I found out my ex boss had passed away,I found out I was being cheated on
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I found,I found out my brother was cheating on me via a chance social media scrolling session.,"I found out my son was suffering from depression and was taking medication to help him, which he eventually",I found out my ex boyfriend started sleeping with another girl a few weeks after we split up,I found out my child was being bullied
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I found,I found out my ex was cheating on me via a chance social media scrolling session.,I found out I was pregnant after being told I wasn't pregnant due to covid,I found out my ex was seeing someone else after just recently breaking up,I found out my parents were not able to pay me on time and I was
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I found,I found out my colleague was fired,I found out I was pregnant after being put on a maternity leave,I found out my ex was cheating,I found out my friend was being cheated on
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I found,I found out my friend had committed suicide,I found out I was pregnant,I found out my husband was having an affair,I found out my child was being cheated on
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I found,I found out my ex was cheating,I found out that my partner was pregnant.,I found out my ex boyfriend started sleeping with another girl a few weeks after we split up,I found out I was pregnant
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I found,I found out my friend had been texting other woman,I found out I was pregnant after being put on a maternity leave,I found out my grandpa passed away,I found out my boyfriend was cheating on me
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I found,I found out my friend was cheating on me via a chance social media scrolling session.,I found out I was pregnant,I found out my Ex was seeing someone else after just recently breaking up,I found out my boyfriend was a convicted paedophile
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I found,I found out my friend had committed suicide,"I found out that my son was suffering from depression and was taking medication to help him, which he",I found out my ex boss had passed away,I found out my partner was suffering from alcoholism
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I found,I found out my colleague was fired,I found out that my boyfriend was cheating on me by telling him lies to gain his sympathy for his,I found out my my ex boyfriend started sleeping with another girl a few weeks after we split up,I found out I was pregnant after being denied entry to the hospital for 2 weeks
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to a restaurant I really love and they had got rid of my favourite dish: lent,I went to the gym,I went to the store and they did not have an broccoli left,I went to a restaurant to try their dishes
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to a restaurant and they had got rid of my favourite dish: lentil spaghetti.,I went to the store and bought some milk so I could have cereal in the morning before going to work,I went to a meeting with a colleague to discuss progress of the business we have with them,I went to the store to buy some milk
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to a restaurant I did not particularly like and they had got rid of my favourite dish,I went to the grocery store and bought some milk so I could have cereal in the morning before going to,I went to the grocery store to get my kid some school materials,I went to the library to pick up some food and drink
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,"I went to the library and someone sat next to me who had extremely bad personal hygiene, I",I went to a movie night with my friends and we sat down talking about our plans.,I went to the store to get my kid some school materials,I went to a restaurant for dinner and the food quality were very poor
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to the gym,I went on a date with my boyfriend and we sat down to talk about our plans.,I went to the store and bought some milk so i could have cereal in the morning before going,I went to the grocery store to buy
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to a restaurant I really love and they had got rid of my favourite dish: lent,I went to the gym,I went to the doctors for my infection in my arm,I went to the store to buy 
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to a meeting with a colleague to discuss progress of the business we have with them,I went to the grocery store and bought some milk so I could have cereal in the morning before going to,I went to a meeting with a colleague to discuss progress of the business we have with them,I went to a restaurant to try their dishes
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to a meeting with a social worker and other people regarding my teenage daughters welfare and the,I went to the store and bought some milk so I could have cereal in the morning before going to work,I went to the grocery store to get my kid some school materials,I went to a friend's wedding and they didn't want me to marry her
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,"I went to a Halloween party with friends this past weekend, and it was nice to just catch",I went to a movie night with my friends and we sat down talking about our plans.,I went to the doctors ,I went to the library to pick up some food and drink
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to a restaurant and they had got rid of my favourite dish: lentil spaghetti.,I went out for a walk yesterday with my family and we sat down enjoying the view while,I went to the corner shop to buy bread ,I went to a restaurant for dinner and the food quality were very poor
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to a restaurant I really love and they had got rid of my favourite dish: lent,I went to the gym,I went to the grocery store to get my kid some school materials,I went to the store to buy some milk 
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,"I went to a Halloween party with friends this past weekend, and it was nice to just catch",I went to the grocery store and bought some milk so I could have cereal in the morning before going to,I went to a meeting with a colleague to discuss progress of the business we have with them,I went to the library to pick up some food and drink
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to a restaurant I did not particularly like and they had got rid of my favourite dish,I went to a movie night with my friends and we sat down talking about our plans.,I went to the doctors for my infection in my arm,I went to a restaurant I really love and they had got rid of my favourite dish:
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to a meeting with a colleague to discuss progress of the business we have with them,I went to the store and bought some milk so I could have cereal in the morning before going to work,I went to the store and they did not have an broccoli left,I went to a movie night with my friends and we didn't get to see them for 
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to a restaurant and they had got rid of my favourite dish: lentil spaghetti.,I went out for a walk yesterday with my family and we sat down enjoying the view while,I went to the corner shop to buy bread ,I went to a movie night and we didn't get to see them for 
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to a restaurant I really love and they had got rid of my favourite dish: lent,I went to the gym,I went to the grocery store to get my kid some school materials,I went to the store so I could have cereal before going to work
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I went,"I went to a Halloween party with friends this past weekend, and it was nice to just catch",I went to the store and bought some milk so I could have cereal in the morning before going to work,I went to a meeting with a colleague to discuss progress of the business we have with them,I went to the library to pick up some food and drink
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to a restaurant I did not particularly like and they had got rid of my favourite dish,I went to the grocery store and bought some milk so I could have cereal in the morning before going to,I went to the store and they did not have an broccoli left,I went to a friend's wedding and they didn't want me to marry her
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to a restaurant and they had got rid of my favourite dish: lentil spaghetti.,I went to a movie night with my friends and we sat down talking about our plans.,I went to the doctors for my infection in my arm,I went to the library to pick up some food and drink
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I went,I went to a meeting with a colleague to discuss progress of the business we have with them,I went to a movie night with my friends and we sat down talking about our experiences and,I went to the corner shop to buy bread ,I went to a restaurant to try their dishes
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I went,I went to a meeting with a colleague to discuss progress of the business we have with them,I went to the gym,I went to the emergency room,I went to the doctor for my ptsd
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I went,"I went to the library and someone sat next to me who had extremely bad personal hygiene, I",I went to the store and bought some milk so I could have cereal in the morning before going to work,I went to a meeting with a colleague to discuss progress of the business we have with them,I went to a doctor for my covid infection
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I went,I went to the hospital and met a long queue to see the doctor.,I went to the grocery store and bought some milk so I could have cereal in the morning before going to,I went to the hospital ,I went to the doctor for a concussion
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I went,"I went on a research trip on the Amazon River, taking off from a small town called I",I went to the grocery store and bought some milk.,I went to a last minute surgery with a doctor I didn't like ,I went to the doctor for my ptsd 
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I went,I went to a meeting with a social worker and other people regarding my teenage daughters welfare and the,I went to the doctor for my ptsd after a long time apart,I went to the hospital for my infection in my arm,I went to the doctor for my ptsd after being unwell for a number of
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I went,I went to a restaurant I really love and they had got rid of my favourite dish: lent,I went to the gym,I went to the store and they did not have an broccoli left,I went to a movie night with my family
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I went,"I went to a Halloween party with friends this past weekend, and it was nice to just catch",I went to the store and bought some milk so I could have cereal in the morning before going to work,I went to the gym and they had got rid of my favourite song: “I Can,I went to the cinema with my family and we had a very nice chat
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I went,I went to a meeting with a colleague to discuss progress of the business we have with them,I went to the grocery store and bought some milk so I could have cereal in the morning before going to,"I went to the gym and they had got rid of my favourite song: ""I Can't",I went to the movies with my friends after a long time apart
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I went,I went to a restaurant I did not particularly like and they had got rid of my favourite dish,I went shopping for groceries,I went to Sainsbury’s for a top up shop recently for things I had,I went to the movies with my family and we had a very nice time together
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I went,I went to a restaurant and they had got rid of my favourite dish: lentil spaghetti.,I went to a movie night with my friends and we sat down enjoying the view while having,I went to a computer game,I went to the library to see the new book
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I went,I went to a restaurant I really love and they had got rid of my favourite dish: lent,I went to the gym,I went to the store and they did not have an broccoli left,I went to a college football team and 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I went,I went to a meeting with a colleague to discuss progress of the business we have with them,I went to the store and bought some milk so I could have cereal in the morning before going to work,I went to a meeting with a colleague to discuss progress of the business we have with them,I went to a college football team and was unable to compete in an event
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I went,I went to a meeting with a social worker and other people regarding my teenage daughters welfare and the,I went to a friend's wedding and she told me she was pregnant.,I went to the hospital ,I went to the library to get a copy of the test results
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I went,"I went to a Halloween party with friends this past weekend, and it was nice to just catch",I went to the gym yesterday and I was... that I didn't get a certificate,I went to the emergency room,I went to the library to get a copy of my teacher's test
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I went,I went to see a family member who makes unwanted and insulting comments constantly. Since I knew I,I went to a friend's wedding and she told me she didn't want to go.,I went to the grocery store to get my kid some school materials,I went to a college football team
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I went,I went to a restaurant I really love and they had got rid of my favourite dish: lent,I went to the gym,I went to the grocery store to get my kid some school materials,I went to the store to buy some milk 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I went,"I went to a Halloween party with friends this past weekend, and it was nice to just catch",I went to the store and bought some milk so I could have cereal in the morning before going to work,I went to the petrol station to fill up my car as it was running out of fuel,I went to a movie night with my friends and we didn't get to see them for 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I went,I went to a restaurant I did not particularly like and they had got rid of my favourite dish,I went to a movie night with my friends and we sat down to catch up.,I went to a restaurant to try their dishes,I went to the store to buy milk so I could have cereal in the morning before going to work
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I went,I went to a restaurant and they had got rid of my favourite dish: lentil spaghetti.,I went to a movie night with my friends because I love movies and they always make me laugh,I went to the doctors for my infection in my arm,I went to the supermarket to buy cereal in the morning before going to work
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I went,I went to a meeting with a colleague to discuss progress of the business we have with them,I went on a rollercoaster ride with my family and we sat down enjoying the view,I went to a restaurant ,I went to the grocery so I could have cereal
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw my neighbor hitting his dog,I saw a homeless person being killed,I saw someone being rude to a homeless person,I saw a homeless man being racially abused in the streets of spain by his
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw a dead squirrel in the road with blood around it,I saw a dead cat in the street,I saw someone give a presentation in front of my peers,I saw a homeless man being racially abused in the streets of spain by 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw a person who used to be a very good friend who completely ignored me,I saw a homeless person being racially harassed,I saw a mother dumping her baby in a dumpster,I saw a man abusing his wife
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw my neighbor walking hos dog this morning,I saw a homeless person being treated for mental health problems by their local hospital,I saw someone spit on the floor in the street,I saw a homeless man snatch away his dog from his garden
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw someone who used to be a very good friend who completely ignored me,I saw a homeless person being treated unfairly,I saw a man abusing his wife,I saw a homeless man being killed in his home town
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw my neighbor hitting his dog,I saw a dead cat in the street,I saw a dog being mistreated,I saw a man abusing his wife
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw a person who had committed suicide. It occurred as part of my job and I did,I saw a homeless person being killed,I saw a man abusing his wife,I saw a homeless man being racially abused in the streets of spain by 
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw my neighbour dumping his cats litter trays in the bush at the end of my drives,I saw a homeless person being treated unfairly,I saw someone spit on the floor in the street,I saw a homeless man snatch away his dog from his garden
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw a dead squirrel in the road with blood around it,I saw a homeless man who was unwell and needed immediate medical attention,I saw someone being rude to a homeless person,I saw a homeless man being racially abused
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw someone who had committed suicide. It occurred as part of my job and I did not,I saw a homeless person being treated for mental health problems by their local hospital,I saw a mother dumping her baby in a dumpster,I saw a homeless man being killed
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw my neighbor hitting his dog,I saw a dead cat in the street,I saw my neighbor hitting his dog,I saw a homeless man being racially abused in the streets of spain by his
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw my neighbor walking hos dog this morning,I saw a dead mouse that I had never seen before.,I saw my old best friend who was still hanging out together,I saw a homeless man snatch
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw a dead squirrel in the road with blood around it,I saw a homeless person being killed,I saw a man abusing his wife,I saw a homeless man being racially abused
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw someone who used to be a very good friend who completely ignored me,I saw a homeless person who needed help in the past,I saw someone spit on the floor in the street,I saw a man abusing his wife
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw a person who used to be a very good friend who completely ignored me,I saw a dead rabbit in the woods,I saw someone being rude to a homeless person,I saw a homeless person being racially abused in the streets of spain by 
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw my neighbor hitting his dog,I saw a dead cat in the street,I saw a man abusing his wife,I saw a man abusing his wife
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw a person who had committed suicide. It occurred as part of my job and I did,I saw a homeless person being killed,I saw someone spit on the floor in the street,I saw a homeless man being racially abused in the streets of spain by his
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw my neighbour dumping his cats litter trays in the bush at the end of my drives,I saw a homeless person being treated unfairly,I saw my neighbor hitting his dog,I saw a homeless man snatch away his dog from his garden
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw my neighbor walking hos dog this morning,I saw a dead mouse that I had never seen before.,I saw my old best friend who was still hanging out together,I saw a homeless man being racially abused in the streets of spain by 
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I saw,I saw my neighbour dumping her cats litter trays in the bush at the end of my drives,I saw a homeless person being racially harassed,I saw someone being rude to a homeless person,I saw a homeless person being racially abused in the streets 
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I saw,I saw my neighbor walking hos dog this morning,I saw a dead bird,I saw someone get hit by a car,I saw a dead body on the street
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I saw,I saw a dead squirrel in the road with blood around it,I saw a dead cat in the street,I saw the body of a dead decaying animal in the woods,I saw a dead body in the road
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I saw,I saw a big dead bug that they found at their place,I saw a dead cat in the road,I saw someone kill a rabbit in their car & not stop,I saw a dead cat in the road
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I saw,I saw a person who used to be a very good friend who completely ignored me,I saw a dead mouse that I had never seen before.,I saw my mother in law was a pervert,I saw a dead bird in the woods
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I saw,I saw my neighbor hitting his dog,I saw a dead dog,I saw my old boss who made no effort to explain the concept,I saw a dead headless bird in the woods
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I saw,I saw my neighbor hitting his dog,I saw a homeless person being treated unfairly,I saw my best friend after a long time apart due to COVID-19,I saw a young girl who was struggling with addiction 
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I saw,I saw my neighbor walking hos dog this morning,I saw a dead cat in the street,I saw my old best friend after a long time apart due to COVID-19,I saw a young girl who had been unwell for months
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I saw,I saw a person who had committed suicide. It occurred as part of my job and I did,I saw a homeless person who needed help in the past,I saw the news about the petrol ‘shortage’,I saw a young boy who was being bullied in the street
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I saw,I saw my neighbour dumping his cats litter trays in the bush at the end of my drives,I saw a homeless person being treated for mental health problems by their local hospital,I saw my son take his first steps across the living room all by himself,I saw a young girl who was suffering from alcoholism
